"age","sex","parent","disabled","uses.lib","ses","raceth","educ","rurality"
73,"male","not parent","yes","yes","medium","Non-Hispanic White","HS to 2-year degree","suburban"
58,"female","not parent","yes","no","medium","Non-Hispanic White","Four-year degree or more","rural"
64,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
19,"female","not parent","no","yes","high",NA,"HS to 2-year degree","suburban"
58,"female","not parent","no","yes","medium","Non-Hispanic Black","HS to 2-year degree","urban"
91,"female","not parent","yes","yes","medium","Non-Hispanic Black","< HS","rural"
57,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
56,"male","parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
73,"female","not parent","yes","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
55,"female","not parent","yes","no","low","Non-Hispanic White","HS to 2-year degree","rural"
57,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","suburban"
63,"male","not parent","yes","no","low","Non-Hispanic White","< HS","rural"
70,"female","not parent","no","no","medium","Non-Hispanic Black","HS to 2-year degree","urban"
56,"male","parent","no","yes","high","Non-Hispanic White","Four-year degree or more","suburban"
76,"male","not parent","no","no","high","Non-Hispanic White","Four-year degree or more","rural"
84,"female","not parent","yes","no","low","Non-Hispanic White","HS to 2-year degree","rural"
69,"female","not parent","yes","yes","medium","Non-Hispanic White","HS to 2-year degree","suburban"
60,"female","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","urban"
62,"female","not parent","no","yes","high","Non-Hispanic White","Four-year degree or more","suburban"
72,"female","not parent","no","yes","medium","Hispanic","HS to 2-year degree","suburban"
72,"female","not parent","yes","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
75,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","suburban"
78,"female","not parent","yes","no","medium","Non-Hispanic White","Four-year degree or more","rural"
52,"female","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","suburban"
NA,"female","not parent","yes","yes","medium","Non-Hispanic White","HS to 2-year degree","suburban"
68,"male","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
68,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
72,"female","not parent","no","no","high","Hispanic","HS to 2-year degree","rural"
56,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
55,"male","not parent","no","no","high",NA,"Four-year degree or more","suburban"
77,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
53,"female","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","suburban"
53,"female","not parent","yes","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
58,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
69,"male","not parent","no","yes","high","Non-Hispanic White","Four-year degree or more","suburban"
86,"female","not parent","no","yes","low",NA,"HS to 2-year degree","rural"
76,"female","not parent","yes","yes","low","Non-Hispanic White","HS to 2-year degree","rural"
61,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
73,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
73,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
71,"male","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
68,"male","not parent","yes","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
82,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","urban"
30,"female","not parent","no","yes","low","Non-Hispanic White","HS to 2-year degree","rural"
29,"female","parent","no","no","low","Non-Hispanic White","HS to 2-year degree","rural"
23,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","suburban"
95,"female","not parent","yes","no","medium","Hispanic","HS to 2-year degree","rural"
74,"female","not parent","no","yes","low","Hispanic","HS to 2-year degree","rural"
78,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","suburban"
40,"female","parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","urban"
65,"female","not parent","yes","yes","medium","Non-Hispanic White","HS to 2-year degree",NA
51,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
87,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
69,"male","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
62,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
61,"male","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
16,"female","not parent","no","yes","low","Non-Hispanic White","< HS","suburban"
67,"male","not parent","yes","no","medium","Non-Hispanic White","< HS","urban"
NA,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","urban"
52,"female","parent","no","yes","high","Non-Hispanic White","Four-year degree or more","rural"
72,"male","not parent","no","yes","medium",NA,"Four-year degree or more","suburban"
69,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","urban"
61,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
70,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
57,"female","parent","yes","no","low","Non-Hispanic White","HS to 2-year degree","rural"
64,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
73,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
64,"male","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","urban"
60,"female","not parent","no","no","medium","Non-Hispanic Black","HS to 2-year degree","suburban"
NA,"female","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
27,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
58,"male","not parent","yes","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
67,"female","not parent","no","yes","medium","Non-Hispanic Black","HS to 2-year degree","rural"
61,"male","not parent","no","yes","high","Non-Hispanic White","Four-year degree or more","rural"
67,"female","not parent","yes","no","medium","Non-Hispanic White","< HS","rural"
56,"female","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
59,"male","not parent","yes","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
80,"male","not parent","no","yes","medium",NA,"Four-year degree or more","rural"
60,"female","not parent","yes","no","low","Non-Hispanic Black","HS to 2-year degree","rural"
50,"female","not parent","no","no","high",NA,"Four-year degree or more","urban"
54,"male","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
54,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
83,"female","not parent","yes","yes","medium","Non-Hispanic White","HS to 2-year degree","urban"
66,"female","not parent","yes","no","low","Hispanic","< HS","urban"
53,"male","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","suburban"
54,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
55,"male","not parent","no","no","high",NA,"Four-year degree or more","suburban"
41,"female","parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
44,"male","parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
NA,"male","parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","urban"
68,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
60,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","urban"
94,"male","not parent","no","no","medium","Non-Hispanic Black","HS to 2-year degree","rural"
54,"female","not parent","yes","yes","medium","Non-Hispanic White","HS to 2-year degree","suburban"
41,"male","parent","no","yes","medium","Hispanic","< HS","rural"
64,"female","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
NA,"female","not parent","no","no","high",NA,"Four-year degree or more","urban"
90,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
61,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","suburban"
56,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
71,"male","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
72,"male","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
69,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","suburban"
46,"female","parent","yes","no","medium","Non-Hispanic White","< HS","rural"
59,"male","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
69,"female","not parent","yes","no","medium","Non-Hispanic White","HS to 2-year degree","suburban"
78,"female","not parent","no","no","medium","Non-Hispanic White","< HS","rural"
68,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","suburban"
80,"female","not parent","yes","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
46,"male","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","urban"
45,"male","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","suburban"
53,"male","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","suburban"
72,"female","not parent","no","no","medium",NA,"HS to 2-year degree","rural"
60,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","suburban"
48,"male","parent","no","yes","medium",NA,"Four-year degree or more","suburban"
21,"male","not parent","no","no","medium","Hispanic","HS to 2-year degree","suburban"
57,"female","parent","no","yes","high","Non-Hispanic White","Four-year degree or more","rural"
44,"female","parent","no","yes","medium",NA,"Four-year degree or more","rural"
75,"female","not parent","yes","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
70,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
54,"male","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","suburban"
66,"female","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
16,"female","not parent","no","yes","medium","Hispanic","< HS","suburban"
NA,"female","not parent","no","no","low",NA,"< HS","rural"
74,"female","not parent","no","yes","medium","Hispanic","Four-year degree or more","urban"
63,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
78,"male","not parent","no","yes","high","Non-Hispanic White","Four-year degree or more","rural"
79,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
78,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
24,"male","parent","no","yes","low","Hispanic","< HS","rural"
76,"male","not parent","no","yes","low","Non-Hispanic Black","< HS","rural"
77,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
38,"male","parent","no","yes","high","Non-Hispanic White","HS to 2-year degree","rural"
51,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
45,"female","parent","no","yes","medium",NA,"Four-year degree or more","rural"
72,"male","not parent","yes","yes","medium",NA,"Four-year degree or more","rural"
70,"male","parent","yes","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
61,"female","not parent","yes","no","medium","Non-Hispanic White","HS to 2-year degree","suburban"
71,"female","not parent","yes","yes","medium","Non-Hispanic White","< HS","suburban"
NA,"male","not parent","no","yes","low","Non-Hispanic White","HS to 2-year degree",NA
76,"female","not parent","yes","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
67,"male","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
74,"female","not parent","no","no","medium","Non-Hispanic White","< HS","rural"
50,"female","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
36,"female","parent","no","yes","low","Hispanic","< HS","urban"
90,"female","not parent","yes","yes","low","Non-Hispanic White","HS to 2-year degree","suburban"
71,"female","not parent","no","no","medium","Non-Hispanic White","< HS","rural"
74,"female","not parent","yes","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
63,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
73,"male","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
68,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","rural"
64,"male","not parent","no","no","medium","Non-Hispanic White","HS to 2-year degree","urban"
50,"female","not parent","no","yes","medium","Non-Hispanic White","Four-year degree or more","rural"
83,"female","not parent","no","yes","medium","Non-Hispanic White","HS to 2-year degree","suburban"
79,"female","not parent","yes","no","medium","Non-Hispanic White","HS to 2-year degree","rural"
83,"female","not parent","no","yes","high","Non-Hispanic White","Four-year degree or more","suburban"
84,"female","not parent","no","no","medium","Non-Hispanic White","Four-year degree or more","rural"
55,"male","parent","no","yes","medium","Non-Hispanic Black","HS to 2-year degree","rural"
